"URL","NAME"
"https://sm64romhacks.com/hacks/fidget_spinner_64","Fidget Spinner 64"
"https://sm64romhacks.com/hacks/final_mario_64","Final Mario 64"
"https://sm64romhacks.com/hacks/first_hack__by_luke_","First Hack (by Luke)"
"https://sm64romhacks.com/hacks/first_mario_64_hack","First Mario 64 Hack"
"https://sm64romhacks.com/hacks/first_person_sm64_mode","First Person SM64 Mode"
"https://sm64romhacks.com/hacks/firsties_challenge","Firsties Challenge"
"https://sm64romhacks.com/hacks/firsties","Firsties"
"https://sm64romhacks.com/hacks/fish_64__cart_2_","Fish 64 (Cart 2)"
"https://sm64romhacks.com/hacks/fish_64","Fish 64"
"https://sm64romhacks.com/hacks/fish_and_chips","Fish and Chips"
"https://sm64romhacks.com/hacks/flappy_bird_64","Flappy Bird 64"
"https://sm64romhacks.com/hacks/flat_lava_land","Flat Lava Land"
"https://sm64romhacks.com/hacks/floating_island","Floating Island"
"https://sm64romhacks.com/hacks/floating_lava_land","Floating Lava Land"
"https://sm64romhacks.com/hacks/fork_64","Fork 64"
"https://sm64romhacks.com/hacks/framerules_64","Framerules 64"
"https://sm64romhacks.com/hacks/franco_sanchez_64","Franco Sanchez 64"
"https://sm64romhacks.com/hacks/friday_night_funkin_64","Friday Night Funkin 64"
"https://sm64romhacks.com/hacks/frogger_physics","Frogger Physics"
"https://sm64romhacks.com/hacks/fuck_you_64","Fuck You 64"
"https://sm64romhacks.com/hacks/fumo_64","Fumo 64"
"https://sm64romhacks.com/hacks/gwk_test_hack","GWK Test Hack"
"https://sm64romhacks.com/hacks/galacta_birthday","Galacta' Birthday"
"https://sm64romhacks.com/hacks/gamer_marios_destiny_64","Gamer Mario's Destiny 64"
"https://sm64romhacks.com/hacks/gamma64","Gamma64"
"https://sm64romhacks.com/hacks/gauntlet_64","Gauntlet 64"
"https://sm64romhacks.com/hacks/gay_baby_jail_64_2","Gay Baby Jail 64 2"
"https://sm64romhacks.com/hacks/gay_baby_jail_64_prequel","Gay Baby Jail 64 Prequel"
"https://sm64romhacks.com/hacks/gay_baby_jail_64","Gay Baby Jail 64"
"https://sm64romhacks.com/hacks/gay_baby_road","Gay Baby Road"
"https://sm64romhacks.com/hacks/get_stick_bugged","Get Stick Bugged"
"https://sm64romhacks.com/hacks/giant_mario_head_64","Giant Mario Head 64"
"https://sm64romhacks.com/hacks/gianta_world","Gianta World"
"https://sm64romhacks.com/hacks/glimmering_galaxies_64","Glimmering Galaxies 64"
"https://sm64romhacks.com/hacks/golden_sun_64","Golden Sun 64"
"https://sm64romhacks.com/hacks/goomba_ladder_64","Goomba Ladder 64"
"https://sm64romhacks.com/hacks/goomba_skylands","Goomba Skylands"
"https://sm64romhacks.com/hacks/goombas_easter_egg_hunt","Goomba's Easter Egg Hunt"
"https://sm64romhacks.com/hacks/green_hills_model_test__pre_sm64extra_","Green Hills Model Test (Pre SM64Extra)"
"https://sm64romhacks.com/hacks/green_star_revenge_1_back_to_vanilla","Green Star Revenge 1: Back to Vanilla"
"https://sm64romhacks.com/hacks/green_star_revenge_2_to_the_galaxy","Green Star Revenge 2: To the Galaxy"
"https://sm64romhacks.com/hacks/green_star_revenge_3_back_to_the_safe_sear_temples","Green Star Revenge 3: Back to the Safe Sear Temples"
"https://sm64romhacks.com/hacks/green_star_revenge_4","Green Star Revenge 4"
"https://sm64romhacks.com/hacks/greenlake","Greenlake"
"https://sm64romhacks.com/hacks/grillo_64","Grillo 64"
"https://sm64romhacks.com/hacks/groovin_grove","Groovin' Grove"
"https://sm64romhacks.com/hacks/grüninsel_von_rockborkbuck","Grüninsel von Rockborkbuck"
"https://sm64romhacks.com/hacks/guitar_hero_64","Guitar Hero 64"
"https://sm64romhacks.com/hacks/gumbas_klippenwald","Gumbas Klippenwald"
"https://sm64romhacks.com/hacks/hi_im_daisy_64","HI IM DAISY 64"
"https://sm64romhacks.com/hacks/hacking_challenge_1_submissions_[pack]","Hacking Challenge 1 Submissions [pack]"
"https://sm64romhacks.com/hacks/hacking_challenge_2_submissions_[pack]","Hacking Challenge 2 Submissions [pack]"
"https://sm64romhacks.com/hacks/hacking_challenge_2_marble_apotos_city_by_aglab","Hacking Challenge 2: Marble Apotos City by aglab"
"https://sm64romhacks.com/hacks/hacking_challenge_3_purple_revolution_tower_by_aglab","Hacking Challenge 3: Purple Revolution Tower by aglab"
"https://sm64romhacks.com/hacks/half_life_64","Half Life 64"
"https://sm64romhacks.com/hacks/hallowcrash","HallowCrash"
"https://sm64romhacks.com/hacks/hallowoomy_on_spoopy_island","Hallowoomy on Spoopy Island"
"https://sm64romhacks.com/hacks/happy_mario_game","Happy Mario Game"
"https://sm64romhacks.com/hacks/hazy_maze_city","Hazy Maze City"
"https://sm64romhacks.com/hacks/heightmap_64","Heightmap 64"
"https://sm64romhacks.com/hacks/hell_froze_over","Hell Froze Over"
"https://sm64romhacks.com/hacks/hi","Hi"
"https://sm64romhacks.com/hacks/hitler_64","Hitler 64"
"https://sm64romhacks.com/hacks/hopes_1995_revival","Hopes 1995 Revival"
"https://sm64romhacks.com/hacks/hotel_mario_64","Hotel Mario 64"
"https://sm64romhacks.com/hacks/i_crave_attention_64","I Crave Attention 64"
"https://sm64romhacks.com/hacks/i_wanna_be_the_mario_warp_64","I wanna be the Mario Warp 64"
"https://sm64romhacks.com/hacks/im_a_tire","I'm A Tire"
"https://sm64romhacks.com/hacks/ive_made_several_awful_desicions_in_my_life._what_about_you_64","I've Made Several Awful Desicions In My Life. What About You 64"
"https://sm64romhacks.com/hacks/ice_cream_vault_2","Ice Cream Vault 2"
"https://sm64romhacks.com/hacks/impeccable_design_2","Impeccable Design 2"
"https://sm64romhacks.com/hacks/impeccable_design_3_mazio_extreme_edition","Impeccable Design 3: Mazio Extreme Edition"
"https://sm64romhacks.com/hacks/impeccable_design_4_-_despicable_desert_dream","Impeccable Design 4 - Despicable Desert Dream"
"https://sm64romhacks.com/hacks/impeccable_design_555_-_brightful_space_edition","Impeccable Design 555 - Brightful Space Edition"
"https://sm64romhacks.com/hacks/impeccable_design_64","Impeccable Design 64"
"https://sm64romhacks.com/hacks/impossible_mario_64","Impossible Mario 64"
"https://sm64romhacks.com/hacks/impossible_mario_74_extreme_edition","Impossible Mario 74 Extreme Edition"
